w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.733183 2.291637e+00 2.289356e+00 1.022110e-01 1.296618e+00 1.294724e+00 7.004244e-02 0.014202 0.017203
0.734184 2.295703e+00 2.293391e+00 1.029980e-01 1.299408e+00 1.297489e+00 7.058172e-02 0.014286 0.017299
0.735185 2.299799e+00 2.297456e+00 1.037938e-01 1.302219e+00 1.300275e+00 7.112705e-02 0.014371 0.017395
0.736186 2.303928e+00 2.301552e+00 1.045985e-01 1.305052e+00 1.303082e+00 7.167850e-02 0.014456 0.017492
0.737187 2.308088e+00 2.305680e+00 1.054123e-01 1.307907e+00 1.305910e+00 7.223617e-02 0.014543 0.017589
0.738188 2.312280e+00 2.309838e+00 1.062353e-01 1.310783e+00 1.308760e+00 7.280015e-02 0.014630 0.017688
0.739189 2.316505e+00 2.314029e+00 1.070676e-01 1.313683e+00 1.311632e+00 7.337054e-02 0.014717 0.017787
0.740190 2.320763e+00 2.318253e+00 1.079095e-01 1.316604e+00 1.314526e+00 7.394744e-02 0.014806 0.017887
0.741191 2.325054e+00 2.322508e+00 1.087610e-01 1.319549e+00 1.317443e+00 7.453095e-02 0.014895 0.017988
0.742192 2.329378e+00 2.326797e+00 1.096223e-01 1.322517e+00 1.320382e+00 7.512116e-02 0.014985 0.018090
0.743193 2.333737e+00 2.331119e+00 1.104935e-01 1.325508e+00 1.323344e+00 7.571818e-02 0.015076 0.018193
0.744194 2.338130e+00 2.335475e+00 1.113748e-01 1.328523e+00 1.326329e+00 7.632212e-02 0.015168 0.018297
0.745195 2.342557e+00 2.339866e+00 1.122664e-01 1.331561e+00 1.329337e+00 7.693309e-02 0.015261 0.018401
0.746196 2.347020e+00 2.344290e+00 1.131683e-01 1.334624e+00 1.332369e+00 7.755118e-02 0.015354 0.018506
0.747197 2.351519e+00 2.348750e+00 1.140809e-01 1.337712e+00 1.335425e+00 7.817653e-02 0.015448 0.018613
0.748198 2.356053e+00 2.353245e+00 1.150042e-01 1.340824e+00 1.338506e+00 7.880923e-02 0.015544 0.018720
0.749199 2.360624e+00 2.357776e+00 1.159384e-01 1.343961e+00 1.341610e+00 7.944940e-02 0.015640 0.018828
0.750200 2.365232e+00 2.362343e+00 1.168836e-01 1.347123e+00 1.344740e+00 8.009717e-02 0.015736 0.018937
0.751201 2.369878e+00 2.366946e+00 1.178402e-01 1.350311e+00 1.347895e+00 8.075265e-02 0.015834 0.019047
0.752202 2.374560e+00 2.371586e+00 1.188081e-01 1.353525e+00 1.351074e+00 8.141597e-02 0.015933 0.019158
0.753203 2.379282e+00 2.376264e+00 1.197877e-01 1.356766e+00 1.354280e+00 8.208724e-02 0.016032 0.019270
0.754204 2.384041e+00 2.380980e+00 1.207791e-01 1.360032e+00 1.357512e+00 8.276661e-02 0.016133 0.019383
0.755205 2.388840e+00 2.385734e+00 1.217825e-01 1.363326e+00 1.360769e+00 8.345420e-02 0.016234 0.019497
0.756206 2.393678e+00 2.390527e+00 1.227980e-01 1.366647e+00 1.364054e+00 8.415014e-02 0.016337 0.019612
0.757207 2.398557e+00 2.395358e+00 1.238260e-01 1.369995e+00 1.367365e+00 8.485457e-02 0.016440 0.019728
0.758208 2.403476e+00 2.400230e+00 1.248665e-01 1.373371e+00 1.370703e+00 8.556763e-02 0.016544 0.019845
0.759209 2.408436e+00 2.405142e+00 1.259199e-01 1.376776e+00 1.374069e+00 8.628946e-02 0.016650 0.019963
0.760210 2.413437e+00 2.410094e+00 1.269862e-01 1.380209e+00 1.377463e+00 8.702020e-02 0.016756 0.020082
0.761211 2.418481e+00 2.415088e+00 1.280658e-01 1.383671e+00 1.380885e+00 8.776001e-02 0.016863 0.020203
0.762212 2.423567e+00 2.420123e+00 1.291588e-01 1.387162e+00 1.384335e+00 8.850902e-02 0.016972 0.020324
0.763213 2.428696e+00 2.425200e+00 1.302655e-01 1.390682e+00 1.387814e+00 8.926740e-02 0.017081 0.020446
0.764214 2.433869e+00 2.430320e+00 1.313861e-01 1.394233e+00 1.391323e+00 9.003530e-02 0.017191 0.020570
0.765215 2.439086e+00 2.435483e+00 1.325208e-01 1.397814e+00 1.394861e+00 9.081289e-02 0.017303 0.020694
0.766216 2.444347e+00 2.440689e+00 1.336699e-01 1.401426e+00 1.398429e+00 9.160031e-02 0.017416 0.020820
